args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.01, weight_decay=0, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0080 loss_train: 1.8030 loss_val: 1.9084
Run:01 Epoch: 0081 loss_train: 1.8058 loss_val: 1.9085
Run:01 Epoch: 0082 loss_train: 1.8086 loss_val: 1.9088
Run:01 Epoch: 0083 loss_train: 1.8111 loss_val: 1.9092
Run:01 Epoch: 0084 loss_train: 1.8135 loss_val: 1.9097
Run:01 Epoch: 0085 loss_train: 1.8156 loss_val: 1.9102
Run:01 Epoch: 0086 loss_train: 1.8175 loss_val: 1.9108
Run:01 Epoch: 0087 loss_train: 1.8190 loss_val: 1.9114
Run:01 Epoch: 0088 loss_train: 1.8202 loss_val: 1.9119
Run:01 Epoch: 0089 loss_train: 1.8212 loss_val: 1.9125
Run:01 Epoch: 0090 loss_train: 1.8218 loss_val: 1.9129
Run:01 Epoch: 0091 loss_train: 1.8222 loss_val: 1.9134
Run:01 Epoch: 0092 loss_train: 1.8222 loss_val: 1.9137
Run:01 Epoch: 0093 loss_train: 1.8221 loss_val: 1.9141
Run:01 Epoch: 0094 loss_train: 1.8217 loss_val: 1.9143
Run:01 Epoch: 0095 loss_train: 1.8210 loss_val: 1.9145
Run:01 Epoch: 0096 loss_train: 1.8203 loss_val: 1.9147
Run:01 Epoch: 0097 loss_train: 1.8194 loss_val: 1.9148
Run:01 Epoch: 0098 loss_train: 1.8183 loss_val: 1.9149
Run:01 Epoch: 0099 loss_train: 1.8173 loss_val: 1.9149
Run:01 Epoch: 0100 loss_train: 1.8161 loss_val: 1.9149
Run:01 Epoch: 0101 loss_train: 1.8150 loss_val: 1.9149
Run:01 Epoch: 0102 loss_train: 1.8139 loss_val: 1.9149
Run:01 Epoch: 0103 loss_train: 1.8129 loss_val: 1.9149
Run:01 Epoch: 0104 loss_train: 1.8119 loss_val: 1.9149
Run:01 Epoch: 0105 loss_train: 1.8110 loss_val: 1.9149
Run:01 Epoch: 0106 loss_train: 1.8101 loss_val: 1.9149
Run:01 Epoch: 0107 loss_train: 1.8095 loss_val: 1.9149
Run:01 Epoch: 0108 loss_train: 1.8089 loss_val: 1.9149
Run:01 Epoch: 0109 loss_train: 1.8084 loss_val: 1.9149
Run:01 Epoch: 0110 loss_train: 1.8081 loss_val: 1.9149
Run:01 Epoch: 0111 loss_train: 1.8078 loss_val: 1.9149
Run:01 Epoch: 0112 loss_train: 1.8077 loss_val: 1.9149
Run:01 Epoch: 0113 loss_train: 1.8077 loss_val: 1.9149
Run:01 Epoch: 0114 loss_train: 1.8078 loss_val: 1.9149
Run:01 Epoch: 0115 loss_train: 1.8080 loss_val: 1.9149
Run:01 Epoch: 0116 loss_train: 1.8082 loss_val: 1.9149
Run:01 Epoch: 0117 loss_train: 1.8085 loss_val: 1.9149
Run:01 Epoch: 0118 loss_train: 1.8088 loss_val: 1.9149
Run:01 Epoch: 0119 loss_train: 1.8092 loss_val: 1.9149
Run:01 Epoch: 0120 loss_train: 1.8096 loss_val: 1.9149
Run:01 Epoch: 0121 loss_train: 1.8099 loss_val: 1.9149
Run:01 Epoch: 0122 loss_train: 1.8103 loss_val: 1.9148
Run:01 Epoch: 0123 loss_train: 1.8107 loss_val: 1.9148
Run:01 Epoch: 0124 loss_train: 1.8110 loss_val: 1.9147
Run:01 Epoch: 0125 loss_train: 1.8113 loss_val: 1.9146
Run:01 Epoch: 0126 loss_train: 1.8116 loss_val: 1.9146
Run:01 Epoch: 0127 loss_train: 1.8118 loss_val: 1.9145
Run:01 Epoch: 0128 loss_train: 1.8120 loss_val: 1.9144
Run:01 Epoch: 0129 loss_train: 1.8122 loss_val: 1.9143
Run:01 Epoch: 0130 loss_train: 1.8123 loss_val: 1.9142
Run:01 Epoch: 0131 loss_train: 1.8123 loss_val: 1.9141
Run:01 Epoch: 0132 loss_train: 1.8124 loss_val: 1.9140
Run:01 Epoch: 0133 loss_train: 1.8123 loss_val: 1.9139
Run:01 Epoch: 0134 loss_train: 1.8123 loss_val: 1.9138
Run:01 Epoch: 0135 loss_train: 1.8122 loss_val: 1.9137
Run:01 Epoch: 0136 loss_train: 1.8121 loss_val: 1.9136
Run:01 Epoch: 0137 loss_train: 1.8120 loss_val: 1.9135
Run:01 Epoch: 0138 loss_train: 1.8119 loss_val: 1.9134
Run:01 Epoch: 0139 loss_train: 1.8117 loss_val: 1.9133
Run:01 Epoch: 0140 loss_train: 1.8116 loss_val: 1.9133
Run:01 Epoch: 0141 loss_train: 1.8114 loss_val: 1.9133
Run:01 Epoch: 0142 loss_train: 1.8113 loss_val: 1.9132
Run:01 Epoch: 0143 loss_train: 1.8112 loss_val: 1.9132
Run:01 Epoch: 0144 loss_train: 1.8111 loss_val: 1.9132
Run:01 Epoch: 0145 loss_train: 1.8110 loss_val: 1.9132
Run:01 Epoch: 0146 loss_train: 1.8109 loss_val: 1.9132
Run:01 Epoch: 0147 loss_train: 1.8108 loss_val: 1.9133
Run:01 Epoch: 0148 loss_train: 1.8108 loss_val: 1.9133
Run:01 Epoch: 0149 loss_train: 1.8107 loss_val: 1.9133
Run:01 Epoch: 0150 loss_train: 1.8107 loss_val: 1.9134
Run:01 Epoch: 0151 loss_train: 1.8107 loss_val: 1.9134
Run:01 Epoch: 0152 loss_train: 1.8107 loss_val: 1.9135
Run:01 Epoch: 0153 loss_train: 1.8108 loss_val: 1.9135
Run:01 Epoch: 0154 loss_train: 1.8108 loss_val: 1.9136
Run:01 Epoch: 0155 loss_train: 1.8108 loss_val: 1.9136
Run:01 Epoch: 0156 loss_train: 1.8109 loss_val: 1.9136
Run:01 Epoch: 0157 loss_train: 1.8109 loss_val: 1.9137
Run:01 Epoch: 0158 loss_train: 1.8110 loss_val: 1.9137
Run:01 Epoch: 0159 loss_train: 1.8110 loss_val: 1.9137
Run:01 Epoch: 0160 loss_train: 1.8110 loss_val: 1.9138
Run:01 Epoch: 0161 loss_train: 1.8111 loss_val: 1.9138
Run:01 Epoch: 0162 loss_train: 1.8111 loss_val: 1.9138
Run:01 Epoch: 0163 loss_train: 1.8111 loss_val: 1.9138
Run:01 Epoch: 0164 loss_train: 1.8112 loss_val: 1.9138
Run:01 Epoch: 0165 loss_train: 1.8112 loss_val: 1.9138
Run:01 Epoch: 0166 loss_train: 1.8112 loss_val: 1.9138
Run:01 Epoch: 0167 loss_train: 1.8112 loss_val: 1.9138
Run:01 Epoch: 0168 loss_train: 1.8112 loss_val: 1.9137
Run:01 Epoch: 0169 loss_train: 1.8112 loss_val: 1.9137
Run:01 Epoch: 0170 loss_train: 1.8112 loss_val: 1.9137
Run:01 Epoch: 0171 loss_train: 1.8112 loss_val: 1.9137
Run:01 Epoch: 0172 loss_train: 1.8111 loss_val: 1.9137
Run:01 Epoch: 0173 loss_train: 1.8111 loss_val: 1.9136
Run:01 Epoch: 0174 loss_train: 1.8111 loss_val: 1.9136
Run:01 Epoch: 0175 loss_train: 1.8111 loss_val: 1.9136
Run:01 Epoch: 0176 loss_train: 1.8111 loss_val: 1.9136
Run:01 Epoch: 0177 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0178 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0179 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0180 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0181 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0182 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0183 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0184 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0185 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0186 loss_train: 1.8110 loss_val: 1.9135
